Ізр,10,20,30,40,50
Uр+,0.538,1.111,1.714,2.355,2.872
Uр-,-0.536,-1.091,-1.694,-2.333,-2.852
Ізр=10мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,8.7,15.2,23.2,31.6,39.8
Uх-,-9.1,-18.5,-25.3,-34.7,-40.5
Ізр=20мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,12.2,21.7,33.7,45.9,59.1
Uх-,-12.9,-25.3,-37.3,-51.5,-66.2
Ізр=30мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,15.2,27.1,43.7,59.4,79.1
Uх-,-17.5,-34.3,-50.3,-67.3,-86.2
Ізр=40мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,23.6,36.3,50.4,66.8,86.9
Uх-,-27.3,-42.4,-52.3,-68.4,-89.5
Ізр=50мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,33.1,49.6,68.1,83.7,108.7
Uх-,-37.4,-53.3,-70.8,-94.2,-111.4
